,Отзыв
2890,"Еда -супер! Обслуживание великолепное ( официанты предупредительные (Алия - суперпрофессионал). Атмосфера уютная, ненавязчивая, симпатичный интерьер и быстрая подача блюд пря заставляют прийти ещё раз именно сюда."
2891,"Завтракала в данном заведении , было очень вкусно! Очень вежливый персонал ."
2892,"Лучшее кафе, по моему мнению, средиземноморская кухня в авторском исполнении-бомба! Официанты-профессионалы! Кофе шикарный, дессерты высший пилотаж, подача выше всяких похвал. Ну и конечно, хорошее месторасположение, рядом с арт-квадратом"
2893,"Отличная сеть, были в ресторане и кофейне, все вкусно, пицца нереальная, тесто правильное, никаких замечаний. Хороший выбор вин. Столик лучше бронировать заранее, вечером много посетителей. Атмосфера приятная, обслуживание тоже) приятная система лояльности по карте)"
2894,"Тихое место, приятные официанты, вкусная еда. Думаю этого вполне достаточно, что бы это место стало одним из любимых)"
2895,Я Анатолий Куликов посетил этот сервис и что могу сказать о нем сотрудники отличные и добро отнеслись к покупателю внутри все обустроеено красиво и современно
2896,"Отличное обслуживание, вкусные блюда и, в целом, приятная атмосфера. Однако, снимаю одну звезду за мебель, а точнее, старые кресла и диванчики. И если некоторые кресла просто с небольшими пятнами и лёгкими царапинами, то диванчики этим похвастаться не могут. Диваны в некоторых местах продавлены, сильно ободраны и выглядят непрезентабельно. Однако, не бойтесь! У них есть места и со стульями, и с креслами, и с диванами. Выбрать удобное место вы сможете. Шоколадницу я рекомендую, ведь состояние мебели никак не сказывается ни на вкусе блюд, а они там очень вкусные, ни на прекрасном персонале этого кафе. Всем приятного времяпрепровождения!"
2897,"Прекрасное место, уютная атмосфера, вежливый и приветливый персонал. Нравится ходить сюда утром в будние дни: можно насладиться ароматным кофе в спокойной обстановке)))"
2898,"Приятное место. Здание имеет вытянутую форму,и это тоже играет роль. По ходу поймёте. Выпечка вкусная,свежая,хороший кофе,есть выбор чая. Персонал отзывчивый,в особенности ребята,которые встречают гостей. Им по 500 раз на дню приходится объяснять,почему для заказа ""с собой"" приходится выйти обратно на улицу,обойти здание и сделать заказ в окошке ""на выдаче"". Это не совсем удобно для посетителя. Большинство проходят это окно мимо ,и идут сразу внутрь. Если не собираешься сидеть,то это лишние движения. Вроде как это должно минимизировать столпотворение внутри,но оно все равно присутствует,в часы наибольшей посещаемости. Посадочных мест на первый взгляд немного,они растянуты по всему периметру кафе, преимущественно по одной его стороне-где окна с видом на парк. Противоположная сторона как раз для сотрудников. Это витрина , зона бариста,и то самое окно выдачи. Из удобств. Каждое место оборудовано розеткой,хороший плейлист,чистый закрытый туалет. Вход по qr в чеке. Правда туалет просто микро. На 2 кабинки. И открывается на сторону посетителей,находится практически посередине зала. В целом мне атмосфера кафе очень импонирует ,особенно тем,что при полной посадке стоит посетительский гул))) мне это нравится) именно ощущение городского молодёжного кафе и постоянного движения."
2899,"Отличный кофе, один из лучших в Краснодаре. Очень приятные ребята. Но есть два недостатка — 1. Разделение «заказ с собой — снаружи, а в зале — внутри». Наверное в этом был какой-то смысл, только девушкам приходится стоять на входе и фильтровать посетителей. 2. Снаружи нет окна выдачи, и очередь в кассу и очередь на выдачу смешиваются, что очень неудобно из-за разнонаправленности потоков)."
2900,"Лучший кофе и кофейные напитки, вкуснейшие круассаны, вежливый и приветливый персонал, стильный интерьер"
2901,"Вообще эта мини сеть кофеен с бомбической при этом едой - это лучшее , что с нами случилось в лен области ! Цены приятные , еда на высшем уровне ! Кофе само собой шикарный ! Хотелось бы ещё больше ваших кафе по всей области ) раз уж вы начали в области и открываться )"
2902,"Очень приятная атмосфера, нас даже пустили с маленкьой собачкой, и ей предложили воды, персонал очень вежливый, Анна была очень тактична, еда очень вкусная , и адекватные цены , что не можеь не радовать"
2903,"Очень вкусный беби-картофель, лосось и Цезарь. Также понравился капучино с малиной и тирамису. Рекомендую!"
2904,Отличное место! Готовят вкусно и быстро! Очень понравилось
2905,"Приятный интерьер, витающий в облаках персонал, кухня из разряда ""есть можно"". Были тут дважды. В первый раз официантка отнесла наш заказ за другой стол, несмотря на то, что, кроме нас, посетителей больше не было. После нескольких минут недоумевания (вдруг мы не заметили, как кто-то сделал заказ и вышел из кафе ненадолго) мы спросили, не наша ли это еда, и получили утвердительный ответ от официантки, которая все это время была в зале и должна была понять, что сделала что-то не так. Заказ, наконец, перенесли за наш стол и даже заменили успевший остыть кофе на свежий. Из еды пробовали здесь Том Ям, пасту, яичницу, шакшуку и десерты. Все съедобно, без нареканий, но и без восторгов. Баскский чизкейк больше похож на запеканку. P.S.: неплохо было бы на дверь туалета повесить табличку, чтобы было понятно, что это именно он, а не какое-нибудь служебное помещение."
2906,"Очень уютное место, можно попить вкусный кофе, перекусить и поработать в приятной домашней обстановке. Есть WiFi."
2907,"В целом, место хорошее, даже очень. Еда вкусная, особенно понравились пельмени и картошка фри, супы. Порции огромные. Чисто, аккуратно. Туалет чистый. Место уютное. Поставила бы 5 с минусом за замороженный ломтик помидора в бургере."
2908,"Здесь самые вкусные бургеры, крылышки и замечательный борщ! Да, столики маловаты. Нас было трое, но повезло, народу было мало и складывали поднос на соседний столик. Персонал радушен, работат скоро. Спасибо им!"
2909,"Открыли для себя это место уже давно (около полутора лет назад). Видели все этапы прогресса и регресса «ОБриоша». К сожалению, это место раньше ничего кроме «5» звезд не заслуживало. Реально, безальтернативно - вкусно, быстро, приятно посидеть и на доставку все приходило горячим, свежим и в том виде, в котором вы его получите в заведении. Но, постоянная смена персонала, отсутствие какого-либо обновления в меню (понимаю, зажрался и это не что-то супер необходимое, но и то, что приносят сейчас из старого меню, тоже стало хуже), атмосфера - раньше была музыка, сейчас гробовая тишина (тоже не критично, но раньше то это было). Про доставку отдельный разговор - приезжает все за час, а то и больше (живем в доме, где находится кафе), в непонятном виде и зачастую все всегда холодное) Резюмируя, «Обриошь» - это пример того, как можно испортить крутое место, а жаль"
2910,"Хорошее место, прежде всего наверно для завтрака. Вкусный кофе, отличный тост с лососем и пащотом, тыквенный суп с креветками. Всегда немного народу."
2911,Не так давно опробовала чурросы-необычный вкусный десерт. Напомнил вкус детства- хворост. Очень вкусные добавки
2912,"Любимая кафешка моей семьи ☕️💕 Ходим сюда в основном за кофейными напитками, но про меню выпечки знаем и периодически что-то из него пробуем. Вкусно! Кстати, это — одно из немногих мест, где мы хотим посидеть, посмаковать и поболтать, а не просто что-то купить и с этим идти домой. Всё потому, что: 1) интерьер и атмосфера места располагают; 2) очень интересно наблюдать, как меняются украшение к праздникам, дизайн стаканчиков и крышек, меню сезонных напитков; 3) приветливые и приятные бариста готовят вкусный и ароматный кофе. Процветайте! Вы — классные."
2913,"Замечательное место! Люблю начинать утро с их кофе и пожеланий ‘хорошего дня’ в след)) Отличный ароматный, вкусный что очень важно не пережженный кофе! Выбор альтернативного молока и вкусняшек всегда ошеломительный! А девчонки бариста, как отдельный вид искусства! Всегда приветливы, улыбчивы, помогут выбрать кофе и исполнят самые замысловатые рецепты приготовления! Покупаю кофе не первый год в этом месте и тут зашла сюда на коменты, прям несправедливо как по мне! Не верите, загляните сами!"
2914,"Люблю это место. Уютно, вкусно, рядом с домом ❤️"
2915,"Лучшая сеть кофеен в городе,да наверное и во всей России. Самые добрые и приветливые бариста, вкуснейшие напитки и выпечка, прекрасный вид из окна. Можно и поработать, и отдохнуть. Обожаю всей душой Skuratov"
2916,Очень красивое место Окна на чёрное озеро это очень круто
2917,"Часто посещаю Супертяж в разных уголках города. На Сталинграда нравится: просторно, есть детский уголок(очень нежная локация, когда ты с ребёнком), обслуживание быстрое, удобное расположение точки(рядом с остановками). Всю беременность кушаю шаурму в Супертяже, всегда вкусно)"
2918,"Шавуха просто бомба,какая хочешь, есть даже 1 кг для сильных духом есть картошка фри и много других вкусняшек для перекуса.Всё вкусное свежее.Напиткии кофейные,чаи разные."
2919,"очень вкусно и быстро, вежливый персонал и приятная атмосфера чтобы перекусить особенно вкусная авторская шаурма🥰🥰🥰"
2920,"Одно из немногих заведений в Нальчике, где можно так уютно и спокойно посидеть! Атмосфера невероятно располагает к себе,персоналу отдельный респект за тактичность и вежливость, свою работу они выполняют на ура! Самое важное в работе бариста - это стабильность, и в этой кофейне стабильность - главный приоритет. Спасибо за вашу работу, ребята! Идея с цветами это просто еще одна причина возвращаться сюда снова и снова😭 ❤️"
2921,"Приятное место! Учитывая что людей не так много восседает, проходимость клиентов высокая. Учтивый и приветливый персонал. Всегда поддерживают чистоту. Взаимовыручка - это наверное главная вещь в их коллективе. Даже старший менеджер/смены, кем бы не была, помогает коллегам и по залу и на кассе. Мне всегда было приятно посещать такие человечные места. Кофе и фирменные вкусности с высокой похвалой. РЕКОМЕНДУЮ ДЛЯ ПОСЕЩЕНИЯ"
2922,"очень крутое место, уютно тепло, обслуживание 10/10 сотрудники хорошие, здороваются, прощаются, очень хороший коллектив! булочки всегда свежие вкусные, готовят прямо в заведении, самое лучшие заведение, сотрудник султан вообще лучший🤍"
2923,"Отличная пекарня, хлеб и выпечка просто восторг! Замечательное место для гостей, где можно попить кофе и полакомиться свежими изысками! Спасибо Ирине и Виталию за уют и душевную атмосферу!!!"
2924,"Приятная кафейня, перслнал приветливый, еда и напитки качественные, вкусные. Часто сюда захожу, всë очень нравится, рекомендую."
2925,"Очень вежливые веселые ребята, приятная атмосфера, спокойно и не шумно, свежая вкусная выпечка, отдельное спасибо бариста за помощь в выборе напитка."
2926,"Посещаю регулярно это кафе со своей большой семьёй, всегда очень вкусная и свежая выпечка. Сотрудники пекарни внимательны, доброжелательны, подскажут и предложат нужную продукцию. Кофе вкусный, забегаю каждое утро перед работой, бодрость на целый день. Спасибо за заботу!!!! Рекомендую посетить и попробовать вкусняшки)))"
2927,"Очень хорошая кофейня, работники очень приветливые, очень рано начинают работать класс, продукция каждый день поставляется свежая, кофе вкусный! Молодцы!"
2928,"Хорошее место, привели друзья, теперь бываю довольно часто, спасибо Андрею за отличный кофе, Антону за проф беседу по моим вопросам по свечами и маслам, узнала все, что хотела, захотела купить все))))), ну и купила))."
2929,"Часто бываю здесь с друзьями, кофе вполне достойный, для такого формата, но хотелось бы больше авторских вариантов напитков. Персонал хорошо вписывается в концепцию заведения, очень нравятся Антон и Вика, они попадают в вайб заведения идеально, Антон очень грамотно с людьми работает, ненавязчиво и располагающе, Вика оч хороша своей эмпатичностью. Да и просто красивые, интересные люди."
2930,"Моя любимая кофейня в Москве! 🤍 каждый раз, когда приезжаю в Москву - иду в NOFILTERS!!! Ооооочень атмосферная кофейня! Очень!!! Заходишь и тебя буквально окутывает магия, любовь и уют! Персонал всегда дружелюбный и располагает к себе! Ребята отвечают на все вопросы, рассказывают как правильно формулировать желания, советуют как лучше)) Отдельно пишу про круассаны - они ЛУЧШИЕ и САМЫЕ ВКУСНЫЕ!!! Еще и очень СЫТНЫЕ! Я все время беру круассан с сёмгой🤍 вы будете в шоке- толщина куска сёмги даже не 1мм( как обычно бывает), сёмга реально ощущается на зубах, даже жевать приходится 😂 очень воздушный, нежный и привлекательный круассан, фото прикреплю🥰 кофе- балдеж, я обожаю лавандовый раф! после оплаты мне 2 раза ( в разные дни) давали в подарок свечу на желание, которую я зажгла прямо в кофейне, ведь обстановка соответствует) На полках лежат разные карты, как таро, так и всякие психологические)) также при кофейне есть магазин, в котором можно приобрести свечи, масла, подсвечники и тд от Таты и её команды😍 Туалет- шик! Очень радует изобилие разных средств и принадлежностей для девушек и не только. Видно, что заботятся о гостях! Это оч радует! Расположение очень удобное, рядом метро! О чем хочется попросить : добавьте, пожалуйста, ВЫХОД метро, который ведет в кофейню🫶🏻 это очень упростит задачу 😅 Острожно, фотки могут повлечь за собой последствия… Вы точно захотите в кофейню! Использовала мои фотки и фотки подруги ❤️🙏🏻"
2931,"Все отлично, все понравилось!!! С любовью и заботой!!! Обучена положительное место! Попили вкусный кофе, вкусные круассаны покушали и загадали желания!🙏🏻"
2932,"Лучшее место)) вкуснейший кофе, богические круассаны, атмосфера.. Масла и свечи здесь - настоящее волшебство) пробовать всем!"
2933,"Совершенно прекрасное место - от кофе и персонала до особой атмосферы. Во-первых, кофе здесь действительно вкусный, при среднем ценнике в центре. Во-вторых, в соседней комнате можно просмотреть свечи для различных ритуалов - от розово-единорогового загадывания желаний до сакрально-чакральных чисток. На любой вкус, но не кошелёк. Наборы стоят денег. А как вы хотели? Счастье без усилий обходится дорого 😺😺👍 На самом деле, отличный подарок как для эфемерной девы, так и для приземленной тёти, вот она удивится и откроет дивный новый мир 😳🙃"
2934,"Как же здесь атмосферно. Благодарю Алену, за чуткость, душевность, внимательность! Я пришла немного растерянная, и благодаря открытости, тонкому интеллекту она помогла мне понять запрос и теперь я счастлива от ощущения целостности ! Тата, благодарю за такое чудесное пространство и люди его необходимая часть. Все в парадигме трансдисциплинарности: среда, субъект, контент! Все очень приятно ❤️☀️❤️☀️❤️☀️❤️☀️❤️☀️ Процветания!"
2935,"Душевно. Красиво . Волшебно. И вкусно 🤗место, куда хочется возвращаться . Спасибо, Тата и команда 🫶🏽"
2936,Кофейня топ! Круассаны топ! Свечи лучшиииие! Люди полные любви и добра! Волшебнейшее место🔥 обожаю всем сердечком!❤️❤️❤️
2937,"Приятное, уютное и атмосферное место. По расположению:в центре, очень удобно добраться. Да! В помещении не так много места, но в этом и смысл на мой взгляд, быть вместе, быть рядом, быть в тепле. Я безмерно люблю маленькие кофейни, такие семейные, тесные. Крайне приятные сотрудники, лицо и душа заведения, в наше время очень важна атмосфера и уют, здесь вы найдете всё. Заботливое отношение сотрудников, приятную атмосферу и тепло. В заведении можно жечь свечи. Иу-иу, это так мило. В кофейне кофе подают в бумажных стаканчиках с различным посылом. Можно сделать приятный сюрприз близкому человеку для поднятия настроения. 🤝 Кофе достойный по вкусу, эспрессо и капучино💣💣 Пожалуйста попробуйте! Вкус на балансе💋👏 Так же можно купить круассан или круассаны-сендвичи. За этими качествами я готова возвращаться и возвращаться в кофейню. Уважаемый Яндекс, пора уже дать знак качества этой кофейне. 👍"
2938,"Мое самое любимое место в большом городе после своего дома и домов близких людей: здесь все создано для того, чтобы вернуться к себе, побыть наедине с мыслями и мечтами или разделить с дорогими спутниками разговоры о важном. Я всегда хожу сюда, как в место силы, наполняться, «якорить» важные встречи и, конечно, за вкуснейшими круассанами (очень жду возвращения клубники и «наполеона»))))) Спасибо Тате и всей команде кофейни и магазина за атмосферу принятия и добра❤️"
2939,"Самое лучшее кафе в мире ,интерьер, работники кафе,энергетика просто супер ,все мечты сбываются ,Тата очень хороший человек который общается и удиляет внимание всем ,про кафе узнала у одной из подписчиков Таты сама в кафе не была но обязательно приеду ,свечи у неё покупаю не первый раз по качеству просто огонь и не только свечи ,масла и т.д.🥰🥰🥰"
2940,"Самое лучшее заведение, раз в неделю бываю здесь ради атмосферы и вайба, ну и конечно же ради Таты 🥰 Кофе потрясающе вкусный и круассаны вообще огонь, особенно с рыбой! Сервис на высоте"
2941,"Обожаю Тату и кофейню всем сердцем и душой 🥰 Самое волшебное место силы в Москве 🫶🏻 Уже всех друзей позвала, даже мои подписчики по моей рекомендации начали ходить сюда и покупать свечи 💖 потому что все работает, друзья ❤️"
2942,"Одна из любимых кофеен! Атмосфера пропитана магией, позитивом, любовью! Отдельно, спасибо персоналу, всегда заряжают на позитив! Алёна - это отдельная ван лав🫶🏽 Все расскажет, подскажет!"
2943,"Главный показатель качества - всегда стоят фуры, водители обедают в кафе. Формат столовой - с подносиком, с компотом из сухофруктов... Вкусно! Правда, туалет - это вокзал 90-х, несмотря на то, что платный. ;)"
2944,"Очень понравилось место. Атмосфера, меню, общение - всё по мне! Порадовали нестандартные кето-десерты в меню, вкусный тыквенный суп и кофе. Нашла не сразу кофейню, походила с сомнением вокруг РАНХиГС, но потом на КПП спросила, позвонила в кофейню и меня встретили )"
2945,"Атмосферное место, очень уютное, удобно расположенное и комфортно обустроенное. Доброжелательный персонал. Попробовала классический раф с ванильным сахаром, понравился. Рекомендую."
2946,"Замечательное место, расположено недалеко от набережной. Домашняя атмосфера, искреннее радушие и внимание персонала. Хорошее меню с приятными ценами! Всем советую, и с удовольствием посетим снова!"
2947,"Я не люблю писать плохие отзывы, всегда стараюсь вытащить максимум позитива из любой ситуации. Собственно, кафе как кафе: уютная атмосфера, очень милая приветливая девушка за прилавком (читал тут плохие отзывы про грубый персонал - видимо, решили эту проблему), большой ассортимент выпечки, есть даже первые и вторые блюда. Но остался не вполне доволен. Вот что вы представляете себе, когда видите ""Бистро""? Наверное, это что-то про быстрый и НЕДОРОГОЙ перекус? Так вот под влиянием этого стереотипа мы с приятелем и зашли туда. Заказали 2 куриных супчика, мясо по-французски, рыбную котлету, на гарнир - картофельное пюре обоим, плюс попить два морса по 0,4 л. Оплата там сразу при заказе, и вышло 1850 руб. Я всё понимаю: курорт, лето, почти центр, ок. НО. Когда нам принесли порции, мы были в некотором шоке: суп в картонных стаканчиках, причем там всего около 250 мл. (справедливости ради, скажу, что суп оказался на уровне! Вкусный бульон, укропчик и довольно много курицы). Котлета и мясо тоже оказались добротными, но их тоже нужно рассматривать ""под микроскопом"". А вот к пюре есть вопросы: никакого намека на сливочное масло или молоко там и близко нет. Мало того, ощущение, что просто залили кипятком порошок. Я рад ошибаться, но оно было совершенно не вкусным. Плюс подача была также в одноразовых тарелках, и когда девушка снимала тарелку с подноса, она у нее аж отвисла, грозя рассыпать все на стол. Уважаемые хозяева заведения, ну, если название ""Бистро"" оправдывается только подачей в одноразовой посуде, и блюда приготовлены на скорую руку, то тогда почему у вас ресторанные цены? Поверьте, мы не первый раз в Зеленоградске и были в разных кафе. И там обедали вдвоем на 2000. Но дело не в деньгах, а в том, за что мы платим. Вот здесь было ощущение, что мы переплатили, причем нехило. Ибо при хорошем качестве мясных блюд и выпечки, у вас подача в одноразовой посуде и непонятное пюре. Ставлю 4 только из-за девочки. Она умница. Пожалуйста, прислушайтесь к моему отзыву. Удачи!"
2948,"Вкусная и всегда свежая еда по-домашнему, всё отличного качества, чистое уютное маленькое кафе, приветливая хозяйка. Здесь можно не то что быстро перекусить, но нормально пообедать, очень рекомендую!!!"
2949,"Очень вкусно и по-домашнему уютно) мы с аппетитом пообедали в кафе и купили с собой полуфабрикаты - куриные котлеты - действительно, это объедение, как и говорила хозяйка) Вернёмся и с удовольствием пообедаем ещё раз))"
2950,"Замечательное место! Очень вкусные обеды и основное меню! Каждый раз прихожу и чувствую себя как дома, очень отзывчивые, добрые и душевные сотрудники. Ваши потрясающие котлеты и пельмени снятся мне во снах😁 Очень рекомендую заглянуть на обед или на кофе с десертом, не пожалеете. Бистро 22, спасибо за заботу о моем голодном желудке😍"
2951,"Это не кафе, а пекарня. Здесь нет кухни, как на ул. Попова, 35, только напитки и выпечка. Персонал всегда приветлив, атмосфера дружественная, обслуживают быстро, кофе готовят вкусный. Прекрасного качества выпечка, покупала здесь на Пасху панеттоне, а также часто беру различные булочки и круассаны с любимыми начинками. Интерьер минималистичный, для посетителей есть только маленький столик и два стула. Возможно, с наступлением лета ребята организуют столики на улице, будет приятно там выпить кофе или прохладительные напитки, съесть булочку. Из недостатков: неудобное расположение, далеко ехать, в стороне от центра и больших ТЦ."
2952,"Место прикольное. Необычное кафе) Часто проходят разные лекции😎👍 Тематичный интерьер , добрый персонал и хорошее расположение в известном всем квадрате ! Кайф , кайф. Советую , хоть раз зайти"
2953,"Всегда свежая кондитерка в отличном качестве, вежливый персонал. Сыну очень нравятся пироженные Павловна. Есть кофе и чай, напитки. Думаю каждый найдёт свое пироженное. Рекомендую."
2954,"Очень вкусно! 😋 Рекомендую всем, единственный место где можно есть вкусная шаурма и кофе ☕👍"
2955,"В цехе вкусно всегда. Каша по утрам решает . Но неплохо было бы омлет . Блины четкие 👍, клубничный чизкейк вообще ван лав 🔥. Да и кофе один из самых лучших в городе , много раз уже обращал на это внимание"
2956,"Вкусные пельмени, свежие салаты. Посетителей много - приезжали в обеденное время, однако ждали не долго. Вежливый персонал, за процессом лепки пельменей можно наблюдать на экране монитора. Большое спасибо девочкам за качественную работу."
2957,"Отличное кафе! В удобном месте, в центре города. Красивый дизайн! Чисто, вкусно кормят. Есть возможность и перекусить, и просто попить кофе с вкусным десертом. Чаи на любой вкус. Персонал (молодые люди) всегда приятно обслуживают."
2958,"Вежливый персонал,большой ассортимент, много вкусняшек, можно выбрать посуду для подарка, цены средние, есть кафе"
2959,"Кафе уютное, но кресла могли бы и поменять, обивка вся сбилась... Обслуживание достойное, персонал приветливый. Парковка час бесплатно"
2960,"Это божественный кофе. Я не знаю, почему в городе не могут больше нигде так вкусно делать кофе, кроме как тут. У Вас явно есть секретный рецепт! 🥰 Я попробовала почти все из меню и всегда вкус был на высшем уровне, спасибо большое, мне сложно угодить на самом деле Да и задумка - кофе на велосипеде, придает этому месту шарм. Это оригинально среди оригинального☺️"
2961,"Сегодня чисто случайно проходила мимо вашего кафе и не смогла устоять, чтобы не посетить Вас! Решила заказать гречку с поджаркой и мой любимый крабовый салат. И не пожалела от слова совсем!! Это было безумно вкусно, сытно и красиво подано. Внутри кафе очень уютно,прямо как дома. Атмосфера очень домашняя,творческая. Подача 10 из 10,была буквально меньше пяти минут. Куда бы не ходила,нигде не могла найти такое,поэтому буду почаще заглядывать к вам.🌷🌷🌷🌷🌷"
2962,"Прекрасная уютная кофейня, большой выбор напитков. Очень вкусно и с душой. Обязательно зайдите😉"
2963,"Спешелти кофе, большой выбор напитков, интересное зерно на воронке. Персонал просто лучший, вас точно примут, как лучшего друга. Атмосфера теплая, несмотря на то, что спот маленький, он очень удобный. Расположение 10/10, рядом с метро, центр Москвы. Здесь самое вкусное пирожное картошка и тост с омлетом. В общем, обожаю этот спот"
2964,"Очень чисто, приветливый персонал, уютный дизайн и удобное расположение - минута от метро Новокосино) Зимой не было холодных напитков, но это индивидуальный аспект и в общем случае не является минусом) Кофе и выпечка вкусные :)"
2965,"Ребята, вы классные! Кофе - реально лучший в районе! Всегда беру американо (а холодный - моя любовь и здесь его делают правильно, а не просто в бумажный стакан накидывают льда) очень качественно делаете! За такое качество и цена очень приятная. Персонал всегда на позитиве. Спасибо Вам за Вашу работу! Гусь - вообще моя любовь))"
2966,"Персонал великолепный, всегда подскажет что выбрать. Очень позитивный Качество кофе на высшем уровне, нигде вкуснее не пробовал Ну а цены, ниже чем в популярных сетях Рекомендую к посещению!"
2967,Отличный кофе. Огромный выбор вариантов на любой вкус и настроение. Профессиональный и отзывчивый бариста. Общительный хозяин - профессионал своего дела. Очень прикольные хот доги. Вкуснейший миндальный круасан. Есть абонемент- по которому кжд 6й напиток в 🎁. Здесь любят и ценят постоянных клиентов
