,Отзыв
30,"Я часто посещаю данное заведение, и только щас пишу отзыв, за все время моего посещения, сложилось мнение, приличного заведения, которое можно посетить, как с семьей, так и дружеской компанией, улыбчивый и приветливый персонал, вкусная еда, нереальные завтраки, ароматный кофе, ну и не стоит забывать про витрину с десертами, заведение держит марку и это очень радует, продолжайте в том же духе, вы лучшие в городе, не побоюсь этих слов"
31,"Заходили за кофе с собой. Весь персонал приветливый и вежливый, кофе вкусный. Подача современная и продуманная. На уровне Питера и Москвы."
32,"Десерты испортились, не так вкусно, как раньше. Кофе очень вкусный, а безалкогольный глинтвейн в зимний период был наш фаворит, ароматный и вкусный"
33,"Хлеб и всякие вкусняшки покупаем только здесь. Огромный выбор. Все свежее и очень вкусное. Хлеб гораздо интереснее обычного заводского,а по цене иногда даже ниже,чем в магазинах. Есть и с тмином, и с изюмом, и с орехами, и с сыром , и прочее и прочее. А торт Птичье молоко или Наполеон, просто огонь. Девушки- продавщицы-очень улыбчивые, любезные, в любую смену.Всегда грамотно предложат товар. Если хотите качественно и вкусно, то только сюда!"
34,"Уютное старое здание в центре города. Интерьеры немного хаотичные, меню неплохое, но, кондитерские изделия довольно посредственные. Вечерами бывают очень приятные и очень не дорогие выступления местных групп. Приятно провести вечер можно здесь))"
35,"Замечательная фабрика!Была на экскурсии с классом, экскурсовод все понятно объясняла, было приятно и интересно слушать, сразу видно, человеку нравится и он горит этим делом! Вкусные тортики и пирожные!"
36,"Еда стала хуже чем год назад. Теперь по порядку. Новый интерьер- класс, отличная игровая для детей, вопросов нет. Официанты - тоже все отл. Но карбонара с чесноком и с сыроватым довольно крупно нарезанным беконом - это не то , что ждешь от Капучинофф- ну если вы добавляете чеснок , хоть предупредите, но тогда не называйте это карбонарой. Заказывала жена- съел я, есть можно , но мы же в ресторане как-никак, а не в придорожном кафе) В прошлый раз разочаровала пицца 4 сыра и салат из баклажанов- это жирный кошмар((.При этом есть отличные позиции в меню: детское меню, бургер, пивная закуска .Хорошее вино, хорошие коктейли.Если бы я не был в старом Капучинофф можно было бы поставить четверку, но помня как было раньше- это тройка. В итоге: ехать специально к вам точно нет, если идти с парка- максимум выпить кофе/коктейль. Верните пиццу со страчателлой и говядину с картофелем- это было топ!"
37,"поставлю 2 с плюсом, 1балл за вкусный десерт, 1балл за чистоту в туалете, пол балла за атмосферу, 0 баллов за обслуживание, потому что к нам подходили 3 разные официантки, каждая что-то забирала или приносила, но сразу же ""забывала передать другой"" поэтому все мои блюда приносились холодными. пока мои друзья ели, я ждала свой заказ, и стоило мне только позвать официантку, как она сразу про него вспомнила, позже нам принесли не напитки, а СЧЕТ, хотелось бы узнать зачем нам счет, если мы еще даже не поели. впечатление о кафе испорчено."
38,"Уютный ресторан! Всегда чисто, официантки очень вежливы и красивы) всё вкусно! Сан.узлы сверкают. Прекрасная детская комната! Особенно впечатлили голубцы с начинкой из кролика - восторг!!! Благодарим официанта Диану Одерову за прекрасное обслуживание, доброе отношение к посетителям и быструю работу!"
39,"Заглянули перекусить в ресторан Капучиноф перед прогулкой в Коломенском. Удивило меню, в котором оказались представлены разнообразные супы, салаты, закуски и горячие блюда. Сделали заказ и стали рассматривать интерьер заведения - очень спокойные цвета, удобные сиденья, симпатичная стенка с живыми цветами. Фоновая музыка очень приятная и ненавязчивой громкости. Заказ наш приготовили очень быстро и все подавали вовремя. Я отведал прекрасный борщ - огромная порция, наваристый, вкусный, с кусочком поджареной чиабатты и подмороженного сала. После борща уже наелся) Овощной салат был заправлен очень нежным соусом с кислинкой и тоже огромная порция. При этом ценник - вполне умеренный для такого проходного места. Вторые блюда мы решили забрать с собой. Также подали очень вкусный цитрусовый лимонад и смузи. Всем рекомендую это прекрасное вкусное место! 👍"
40,"Частый гость в данном заведении, и качеством блюд и обслуживанием всегда довольна, особенно нравятся супы. Очень понравилось новое оформление зала, красиво и уютно."
41,"Как всегда все прекрасно. Одно из самых любимых мест в Мск. Годы идут, а гастрономическое удовольствие от блюд не теряется, несмотря на изменение меню. Кофе, также, на высоте. Сделали зону для детей"
42,Люблю это тихое место потому что тут продают эклеры эклерной Клер. С нежирным заварным кремом и не приторные.
43,"Хорошая, уютная кофейня. Чисто, вкусный кофе и десерты. 👍"
44,"Несмотря на очень людное место, кафе расположено хорошо. Диваны сильно истерты. Но самое главное-это чудесные блинчики. А вот кофе Раф было приторно сладкий. В целом все нормально."
45,"были на романтическом завтраке, с женой, по случаю 14 февраля устраивал романтический завтрак. с персоналом без проблем забронировал столик. в кофейне чисто, уютно, отдельное спасибо ребятам, которые нас обслуживали! молодцы!"
46,Были в кондитерской. Если пирожные - очень вкусно. Кофе - неплохой. Чай - вкусный. В помещении чисто и уютно. Персонал внимательный и вежливый. Рекомендую посетить это заведение. Впечатление хорошее.
47,"Мне и моей семье очень нравится школа ""Дымов керамика"". Были семьей на нескольких мастер-классах, все очень понравилось. Спасибо за прекрасную возможность такого семейного досуга и развития новых интересов."
48,"Наконец дошли до этого павильона. Нам очень понравилось. Такая замечательная обстановка. Очень интересные товары ручной работы. Можно найти интересную, оригинальную керамическую посуду, ароматические свечи, товары для дома. Время проходит приятно и незаметно. Есть уголок с вкусным кофе и сладостями ручной работы. Проводя время в такой атмосфере , на ум приходят слова из Библии: «Когда сердце радостно, лицо сияет… у кого радость на сердце, у того всегда пир». Всем рекомендую провести время в такой обстановке, но лучше в будни. В выходные много людей."
49,"Мне вообще нравится ШОКОЛАДНИЦА, НЕ ТОЛЬКО НА Красной Пресне, 21))) Почти всегда хорошо делают облепиховый горячий напиток, а сейчас особенно хочу отметить спаржу: молодая и нежная:))) и с йогуртовым соусом - прекрасно!!!"
50,"Приятная персонал. Завтрак понравился Открываются раньше многих в районе. Обслуживание быстро, благодарю."
51,"Обожаю выпечку Волконского, особенно отлично начинать здесь день с великолепного завтрака-необыкновенно вкусных сырников и облепихового чая. Или перекусить с друзьями наивкуснейшим сендвичем и вкусным кофе. И прихватить с собой наисвежайший хлеб с хрустящей корочкой. А доброжелательный персонал поможет сделать выбор."
52,Замечательное место с супер гостеприимными и позитивными официантами!!!
53,"Очень приятное место. Отзывчивые официанты. Удобно и перекусить, и встретиться с друзьями, и просто посидеть- отдохнуть за чашкой кофе."
54,"Заведение уютное, людей не много, но уборной можно пожелать лучшего. Цены не высокие"
55,"Удобная локация кофейни, красивый интерьер, много различных вариаций посадки, можно поработать за ноутбуком в одиночестве, или выпить чашку кофе с друзьями! Уютно, вежливо и вкусно!"
56,"Доброго времени суток ✨ Решили с мужем сходить в кафе, где впервые встретились. Ностальгия до глубины души!) Римская пицца грибная, была оочень вкусной, а корочка ничем не хуже начинки, как будто хлеб свежеиспеченный🔥 Глинтвейн тоже порадовал своим вкусом и пряностями) Но вот единственное, торт манго-маракуйя подали заветренный, тем не менее он был вкусным. Официант был вежлив, внимателен и учтив. Спасибо за атмосферу!)"
57,"Лучшая жареная картошка! Классический раф вообще огонь! Тихая спокойная атмосфера и потрясающие картины на стенах. Обязательно вернусь ещё. Наконец-то нашла в Иркутске свою ""нору"", где можно спрятаться от рутины жизни."
58,"Уютно, красиво , тепло, классные игры на приставках, вкусный чай и печеньки, доброжелательные хозяюшки, отзывчивые и вежливые )"
59,"Позитивный персонал. Вкусная продукция по хорошим ценам. Автомобиль есть где поставить,рядом магазин. Оплата производится как наличными так и картой."
60,"Стиль,чистота в заведении,приемлемые цены, вкусная и сытная паста,согревающий грог,французская музыка-все это вы найдёте в ресторане Le menu) Спасибо девушкам-учтивы и вежливы в обслуживании! Перекусить и согреться в этом заведении-было лучшим решением в тот день)"
61,"Попали случайно и очень удачно, пока искали, где погреться и вкусно поужинать. Интерьер весьма приятный, есть на что засмотреться. Столиков достаточно, но расположение такое, что гости друг другу не мешали бы. Ужинали под приятную живую музыку, пианист создал умиротворяющую атмосферу. Меню небольшое, но есть блюда на разный вкус, для меня это большое преимущество - не тратить много времени на изучение, но видеть разнообразие. Томатный суп с морепродуктами был великолепен. Подача быстрая. Из персонала видели только музыканта и одного официанта, но внимания нам хватило - отзывчивый, вежливый, оперативный. К посещению рекомендую."
62,"Хорошее заведение с приятной обстановкой, бизнес ланч, на мой взгляд, дороговат"
63,"Были с мужем 1 апреля 2023 г. Заказали пасту с говяжьей вырезкой и пасту с лангустинами, 2 салата и 2 коктейля. По поводу пасты хочется сделать особое замечание. Кроме томатов не чувствуется ничего. Когда к нам подошла официант и спросила все ли понравилось, так и ответили,что паста не понравилась вообще. Это не соус, а такое впечатление ,что вылили банку томатов. Вся тарелка в помидорах. Цезарь показался странным. Кроме листьев салата и 4 лангустинов ничего в состав не входит. Официантка сказала,что дело в соусе. На мой взгляд соус никакой. От слова совсем. У мужа паста была с 3 лангустинами. Так как у мужа был др, дали в подарок чизкейк. Единственное,что понравилось. Если честно, то это кафе полное разочарование. Коктейли неплохие, но все- таки традиционную пино- коладу делают не так. Добавляют и ананас и взбитые сливки. Вывод такой,что повара готовят плохо."
64,"Вкусные блюда, хорошая подача, приятная обстановка"
65,"Уютное местечко для того чтобы сделать небольшой перерыв, отвлечься от будничной суеты и побаловать себя вкусным кофе в приятной атмосфере."
66,"Лучшая кофейня в городе. Бармены настоящие профи своего дела. Выбор напитков невероятно огромный, чего не скажешь о других заведениях. Настоятельно рекомендую посетить данное заведение"
67,"Чудное место с фантастическим кофе. Спасибо баристе по имени Никита. Кажется, его обожает добрая половина Владивостока) Обязательно посетите! Однако, учтите, кофейня небольшая)"
68,"Кофе обычный, цены чуть выше среднего. Может это именно мне так ситуативно не повезло, но бариста был абсолютно неприветлив)"
